pulau_kota,kategori,nama_perumahan,latitude,longitude,link_gmaps
Medan,Subsidi,Rumah subsidi minimalis medan | Sedaya property,3.5987316,98.7345581,https://www.google.com/maps/place/Rumah+subsidi+minimalis+medan+%7C+Sedaya+property/data=!4m7!3m6!1s0x303131ee003c4f87:0x24089c5979f6a39c!8m2!3d3.5987316!4d98.7345581!16s%2Fg%2F11wn8hv8rn!19sChIJh088AO4xMTARnKP2eVmcCCQ?authuser=0&hl=id&rclk=1
Medan,Subsidi,GRAHA INDAH JAYA,3.4906644,98.663877,https://www.google.com/maps/place/GRAHA+INDAH+JAYA/data=!4m7!3m6!1s0x30313b5ef294137f:0x99c5787d4a17ba47!8m2!3d3.4906644!4d98.663877!16s%2Fg%2F11pg37scbv!19sChIJfxOU8l47MTARR7oXSn14xZk?authuser=0&hl=id&rclk=1
Medan,Subsidi,Perumahan Subsidi Tembung Mansion,3.6304427,98.7832139,https://www.google.com/maps/place/Perumahan+Subsidi+Tembung+Mansion/data=!4m7!3m6!1s0x3031351304a013d7:0xb6071b94702c285e!8m2!3d3.6304427!4d98.7832139!16s%2Fg%2F11szx8ft7w!19sChIJ1xOgBBM1MTARXigscJQbB7Y?authuser=0&hl=id&rclk=1
Medan,Subsidi,Rumah Subsidi Minimalis Mulia Mencirim | Bungsuland Property,3.5582373,98.5552405,https://www.google.com/maps/place/Rumah+Subsidi+Minimalis+Mulia+Mencirim+%7C+Bungsuland+Property/data=!4m7!3m6!1s0x3031299f5416b853:0x29afa5daf2d1b77f!8m2!3d3.5582373!4d98.5552405!16s%2Fg%2F11k3rk7ywc!19sChIJU7gWVJ8pMTARf7fR8tqlryk?authuser=0&hl=id&rclk=1
Medan,Subsidi,Perumahan Platinum Garden III,3.6518711,98.7534648,https://www.google.com/maps/place/Perumahan+Platinum+Garden+III/data=!4m7!3m6!1s0x303135eb83c4fde5:0x6dbb7f2d213127f9!8m2!3d3.6518711!4d98.7534648!16s%2Fg%2F11snnxh3bl!19sChIJ5f3Eg-s1MTAR-ScxIS1_u20?authuser=0&hl=id&rclk=1
Medan,Subsidi,Hunian Kasih Lima,3.534202,98.6754287,https://www.google.com/maps/place/Hunian+Kasih+Lima/data=!4m7!3m6!1s0x30313b9333f102ef:0x6785bf5c010ccb2d!8m2!3d3.534202!4d98.6754287!16s%2Fg%2F11j4dj9xx5!19sChIJ7wLxM5M7MTARLcsMAVy_hWc?authuser=0&hl=id&rclk=1
Medan,Subsidi,Perumahan Program Sejuta Rumah Griyaland Pecawir,3.4079085,98.7065267,https://www.google.com/maps/place/Perumahan+Program+Sejuta+Rumah+Griyaland+Pecawir/data=!4m7!3m6!1s0x30313da6534a7239:0x368635b3d6b0b4d5!8m2!3d3.4079085!4d98.7065267!16s%2Fg%2F11hb4yf116!19sChIJOXJKU6Y9MTAR1bSw1rM1hjY?authuser=0&hl=id&rclk=1
Medan,Subsidi,Rumah KPR Medan,3.5733066,98.6344171,https://www.google.com/maps/place/Rumah+KPR+Medan/data=!4m7!3m6!1s0x30312fb6314c4331:0x738314c33764d7ca!8m2!3d3.5733066!4d98.6344171!16s%2Fg%2F11ty8f48bb!19sChIJMUNMMbYvMTARytdkN8MUg3M?authuser=0&hl=id&rclk=1
Medan,Subsidi,Perumahan Graha Karya Jaya,3.531553,98.677436,https://www.google.com/maps/place/Perumahan+Graha+Karya+Jaya/data=!4m7!3m6!1s0x30313aa35c4adb11:0x5318c0f632dfdd76!8m2!3d3.531553!4d98.677436!16s%2Fg%2F11bwg6g81q!19sChIJEdtKXKM6MTARdt3fMvbAGFM?authuser=0&hl=id&rclk=1
Medan,Subsidi,Perumahan Marelan Asri Residence (Pasar 4 Barat),3.7045372,98.648447,https://www.google.com/maps/place/Perumahan+Marelan+Asri+Residence+%28Pasar+4+Barat%29/data=!4m7!3m6!1s0x3036d2b27218d9bb:0xdb3ae712b1198fec!8m2!3d3.7045372!4d98.648447!16s%2Fg%2F11gdh19krd!19sChIJu9kYcrLSNjAR7I8ZsRLnOts?authuser=0&hl=id&rclk=1
Medan,Subsidi,Rumah Murah Medan. Mifta,3.5768596,98.688516,https://www.google.com/maps/place/Rumah+Murah+Medan.+Mifta/data=!4m7!3m6!1s0x303131217a409813:0xdb661a1b76b6eda4!8m2!3d3.5768596!4d98.688516!16s%2Fg%2F11kympv215!19sChIJE5hAeiExMTARpO22dhsaZts?authuser=0&hl=id&rclk=1
Medan,Subsidi,WONOSARI ASRI RESIDENCE,3.548126,98.810959,https://www.google.com/maps/place/WONOSARI+ASRI+RESIDENCE/data=!4m7!3m6!1s0x303137e83d9db1f7:0x3cb041acea0e82c3!8m2!3d3.548126!4d98.810959!16s%2Fg%2F11t3dhgdhb!19sChIJ97GdPeg3MTARw4IO6qxBsDw?authuser=0&hl=id&rclk=1
Medan,Subsidi,Tamora Residence,3.5012305,98.7325946,https://www.google.com/maps/place/Tamora+Residence/data=!4m7!3m6!1s0x30313b9128850feb:0x93f27952ef40b494!8m2!3d3.5012305!4d98.7325946!16s%2Fg%2F11rmxd6kgd!19sChIJ6w-FKJE7MTARlLRA71J58pM?authuser=0&hl=id&rclk=1
Medan,Subsidi,Izzara Mansion Perumahan Subsidi Terbaik,3.4483142,98.6542512,https://www.google.com/maps/place/Izzara+Mansion+Perumahan+Subsidi+Terbaik/data=!4m7!3m6!1s0x3031235d094604c3:0x343a34f7b547a84f!8m2!3d3.4483142!4d98.6542512!16s%2Fg%2F11vwhn4s1d!19sChIJwwRGCV0jMTART6hHtfc0OjQ?authuser=0&hl=id&rclk=1
Medan,Subsidi,Perumahan Alam Asri,3.5030185,98.6122461,https://www.google.com/maps/place/Perumahan+Alam+Asri/data=!4m7!3m6!1s0x303125a900000001:0x30213e4be1efd93e!8m2!3d3.5030185!4d98.6122461!16s%2Fg%2F11b7rxgzy5!19sChIJAQAAAKklMTARPtnv4Us-ITA?authuser=0&hl=id&rclk=1
Medan,Subsidi,Perumahan Sinar Mas,3.5475261,98.7156254,https://www.google.com/maps/place/Perumahan+Sinar+Mas/data=!4m7!3m6!1s0x3031309b28497ef5:0x8c1962abdd48e439!8m2!3d3.5475261!4d98.7156254!16s%2Fg%2F11f1dc5ty3!19sChIJ9X5JKJswMTAROeRI3atiGYw?authuser=0&hl=id&rclk=1
Medan,Subsidi,Perumahan Jordan City,3.4163279,98.6449018,https://www.google.com/maps/place/Perumahan+Jordan+City/data=!4m7!3m6!1s0x3031230013e87491:0x56ddba521cfcf00c!8m2!3d3.4163279!4d98.6449018!16s%2Fg%2F11y27ww77z!19sChIJkXToEwAjMTARDPD8HFK63VY?authuser=0&hl=id&rclk=1
Medan,Subsidi,Perumahan bersubsidi mulia residence 3 ajibaho,3.4462023,98.6932081,https://www.google.com/maps/place/Perumahan+bersubsidi+mulia+residence+3+ajibaho/data=!4m7!3m6!1s0x30313d0ec6e78b1f:0x35af0ab42d6b5b41!8m2!3d3.4462023!4d98.6932081!16s%2Fg%2F11hz6pyzp7!19sChIJH4vnxg49MTARQVtrLbQKrzU?authuser=0&hl=id&rclk=1
Medan,Subsidi,Perumahan Johor Medan,3.4242146,98.64333,https://www.google.com/maps/place/Perumahan+Johor+Medan/data=!4m7!3m6!1s0x303123b49c4a2449:0xd630de34f7c1caef!8m2!3d3.4242146!4d98.64333!16s%2Fg%2F11fgkrvq4x!19sChIJSSRKnLQjMTAR78rB9zTeMNY?authuser=0&hl=id&rclk=1
Medan,Subsidi,Puri khazanah regency medan,3.6303594,98.828443,https://www.google.com/maps/place/Puri+khazanah+regency+medan/data=!4m7!3m6!1s0x30313513de5106b1:0xb982ca1c356fb059!8m2!3d3.6303594!4d98.828443!16s%2Fg%2F11j7g02q9j!19sChIJsQZR3hM1MTARWbBvNRzKgrk?authuser=0&hl=id&rclk=1
Medan,Subsidi,Perumnas Simalingkar,3.5084181,98.6332523,https://www.google.com/maps/place/Perumnas+Simalingkar/data=!4m7!3m6!1s0x303125695993a485:0xed5e73a820857da!8m2!3d3.5084181!4d98.6332523!16s%2Fg%2F11b6t54p7h!19sChIJhaSTWWklMTAR2lcIgjrn1Q4?authuser=0&hl=id&rclk=1
Medan,Subsidi,Perumahan griya harapan baru,3.5123965,98.5944549,https://www.google.com/maps/place/Perumahan+griya+harapan+baru/data=!4m7!3m6!1s0x3031250a6ad88c0b:0x7f0e87cd28d30c15!8m2!3d3.5123965!4d98.5944549!16s%2Fg%2F11h269w_zv!19sChIJC4zYagolMTARFQzTKM2HDn8?authuser=0&hl=id&rclk=1
Medan,Subsidi,Rumah Subsidi dan Komersil Medan,3.6175625,98.7401875,https://www.google.com/maps/place/Rumah+Subsidi+dan+Komersil+Medan/data=!4m7!3m6!1s0x8a564a625fc851ff:0x3f535989fbd11406!8m2!3d3.6175625!4d98.7401875!16s%2Fg%2F11x7xyl7kq!19sChIJ_1HIX2JKVooRBhTR-4lZUz8?authuser=0&hl=id&rclk=1
